[21:17:37] [INFO] received Windows console close event; shutting log-core down
[21:33:24] [INFO] received Windows console close event; shutting log-core down
[21:36:10] [INFO] received Windows console close event; shutting log-core down
[21:37:55] [INFO] received Windows console close event; shutting log-core down
[21:40:00] [INFO] received Windows console close event; shutting log-core down
[21:42:23] [INFO] received Windows console close event; shutting log-core down
[01:35:38] [INFO] received Windows console close event; shutting log-core down
[10:54:56] [INFO] received Windows console close event; shutting log-core down
[10:55:42] [INFO] received Windows console close event; shutting log-core down
[11:00:58] [INFO] received Windows console close event; shutting log-core down
[11:20:08] [INFO] received Windows console close event; shutting log-core down
[11:21:53] [INFO] received Windows console close event; shutting log-core down
[11:27:37] [INFO] received Windows console close event; shutting log-core down
[11:36:17] [INFO] received Windows console close event; shutting log-core down
[11:40:04] [INFO] received Windows console close event; shutting log-core down
[11:43:26] [INFO] received Windows console close event; shutting log-core down
[11:46:22] [INFO] received Windows console close event; shutting log-core down
[11:50:09] [INFO] received Windows console close event; shutting log-core down
[11:52:44] [INFO] received Windows console close event; shutting log-core down
[12:08:26] [INFO] received Windows console close event; shutting log-core down
[15:07:51] [INFO] received Windows console close event; shutting log-core down
[15:23:40] [INFO] received Windows console close event; shutting log-core down
[15:34:49] [INFO] received Windows console close event; shutting log-core down
[15:46:43] [INFO] received Windows console close event; shutting log-core down
[15:49:17] [INFO] received Windows console close event; shutting log-core down
[15:51:35] [INFO] received Windows console close event; shutting log-core down
[16:02:50] [INFO] received Windows console close event; shutting log-core down
[16:32:08] [INFO] received Windows console close event; shutting log-core down
[16:42:01] [INFO] received Windows console close event; shutting log-core down
[20:05:37] [INFO] received Windows console close event; shutting log-core down
[23:26:24] [INFO] received Windows console close event; shutting log-core down
[23:29:17] [INFO] received Windows console close event; shutting log-core down
[23:33:51] [INFO] received Windows console close event; shutting log-core down
[23:36:31] [INFO] received Windows console close event; shutting log-core down
[23:43:24] [INFO] received Windows console close event; shutting log-core down
[01:22:41] [INFO] received Windows console close event; shutting log-core down
[01:24:53] [INFO] received Windows console close event; shutting log-core down
[02:08:15] [INFO] received Windows console close event; shutting log-core down
[02:17:48] [INFO] received Windows console close event; shutting log-core down
